"Product variant code / SKU (required)","Product variant name","Product supplier item code","Product internal barcode","Product registered barcode","Ingredient variant code / SKU (required)","Ingredient variant name","Ingredient supplier item code","Ingredient internal barcode","Ingredient registered barcode","Notes","Quantity (required)","Unit of measure","Stock cost on 2022-05-12"
"FL015","Flippen Lekka Spice / Worcester Sauce Spice / 500g","","10884","600969362993","FL-LVB-WS-500","Flippen Lekka - Labelled Vacuum Bag / Worcester Sauce Spice / 500g","","10932","","",1,"pcs","0.6092222222"
"FL016","Flippen Lekka Spice / Worcester Sauce Spice / 1kg","","10881","600969362995","FL-LVB-WS-1K","Flippen Lekka - Labelled Vacuum Bag / Worcester Sauce Spice / 1kg","","10934","","",1,"pcs","0.8391322222"
"FL035","Flippen Lekka Spice / Chutney Sprinkle / 200ml","","10894","600969362882","FL-CS-GR","FL Spice / Chutney","SP0116","10859","","",0.182,"kg",47.99
"FL038","Flippen Lekka Spice / Savoury Herb Mix / 200ml","","10887","600969362847","FL-BLEND-SH","Blended Spice / Savoury Herb Mix","","10967","","",0.067,"kg","65.2882733333"
"FL038","Flippen Lekka Spice / Savoury Herb Mix / 200ml","","10887","600969362847","LB-SH-200","Labelled Bottle / Savoury Herb Mix / 200ml","","11093","","",1,"pcs","2.4162177778"
"FL026","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 200ml","","10875","600969362896","FL-RG-GR","FL Spice / Red Wine & Garlic","SP0119","10862","606110877749","",0.162,"kg",51.99
"FL025","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 100ml","","10882","600969362895","FL-RG-GR","FL Spice / Red Wine & Garlic","SP0119","10862","606110877749","",0.09,"kg",51.99
"FL025","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 100ml","","10882","600969362895","LB-RG-100","Labelled Bottle / Red Wine & Garlic Sprinkle / 100ml","","11089","","",1,"pcs","2.4162177778"
"FL026","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 200ml","","10875","600969362896","LB-RG-200","Labelled Bottle / Red Wine & Garlic Sprinkle / 200ml","","11090","","",1,"pcs","2.4162177778"
"FL034","Flippen Lekka Spice / Chutney Sprinkle / 100ml","","10896","600969362881","FL-CS-GR","FL Spice / Chutney","SP0116","10859","","",0.102,"kg",47.99
"FL009","Flippen Lekka Spice / Hot & Spicy / 500g","","10880","600969362855","FL-LVB-H-500","Flippen Lekka - Labelled Vacuum Bag / Hot & Spicy / 500g","","10939","","",1,"pcs","0.6092222222"
"FL010","Flippen Lekka Spice / Hot & Spicy / 1kg","","10886","600969362859","FL-LVB-H-1K","Flippen Lekka - Labelled Vacuum Bag / Hot & Spicy / 1kg","","10940","","",1,"pcs","0.8391322222"
"FL027","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 500g","","10874","600969362897","FL-LVB-RG-500","Flippen Lekka - Labelled Vacuum Bag / Red Wine & Garlic Sprinkle / 500g","","10928","","",1,"pcs","0.6092222222"
"FL028","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 1kg","","10876","600969362899","FL-LVB-RG-1K","Flippen Lekka - Labelled Vacuum Bag / Red Wine & Garlic Sprinkle / 1kg","","10935","","",1,"pcs","0.8391322222"
"FL027","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 500g","","10874","600969362897","FL-RG-GR","FL Spice / Red Wine & Garlic","SP0119","10862","606110877749","",0.5,"kg",51.99
"FL028","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 1kg","","10876","600969362899","FL-RG-GR","FL Spice / Red Wine & Garlic","SP0119","10862","606110877749","",1,"kg",51.99
"FL009","Flippen Lekka Spice / Hot & Spicy / 500g","","10880","600969362855","FL-BLEND-HOT","Blended Spice / Hot & Spicy","","10964","","",0.5,"kg","43.4739623333"
"FL010","Flippen Lekka Spice / Hot & Spicy / 1kg","","10886","600969362859","FL-BLEND-HOT","Blended Spice / Hot & Spicy","","10964","","",1,"kg","43.4739623333"
"FL039","Flippen Lekka Spice / Savoury Herb Mix / 500g","","10899","600969362848","FL-BLEND-SH","Blended Spice / Savoury Herb Mix","","10967","","",0.5,"kg","65.2882733333"
"FL040","Flippen Lekka Spice / Savoury Herb Mix / 1kg","","10898","600969362849","FL-BLEND-SH","Blended Spice / Savoury Herb Mix","","10967","","",1,"kg","65.2882733333"
"FL039","Flippen Lekka Spice / Savoury Herb Mix / 500g","","10899","600969362848","FL-LVB-SH-500","Flippen Lekka - Labelled Vacuum Bag / Savoury Herb Mix / 500g","","10929","","",1,"pcs","0.7011322222"
"FL040","Flippen Lekka Spice / Savoury Herb Mix / 1kg","","10898","600969362849","FL-LVB-SH-1K","Flippen Lekka - Labelled Vacuum Bag / Savoury Herb Mix / 1kg","","10931","","",1,"pcs","0.9532222222"
"FL031","Flippen Lekka Spice / Curry Mix / 250ml","","11063","6009693620346","CINNAMON","Herbs / Cinnamon Sticks","835","10980","","",0.002,"kg","65.40000000000"
"FL031","Flippen Lekka Spice / Curry Mix / 250ml","","11063","6009693620346","LEAVES-BAY","Herbs / Bay Leaves","830","10986","6007097008302","",0.002,"kg","98.00000000000"
"FL032","Flippen Lekka Spice / Curry Mix / 500g","","10883","600969362871","CINNAMON","Herbs / Cinnamon Sticks","835","10980","","",0.005,"kg","65.40000000000"
"FL032","Flippen Lekka Spice / Curry Mix / 500g","","10883","600969362871","LEAVES-BAY","Herbs / Bay Leaves","830","10986","6007097008302","",0.005,"kg","98.00000000000"
"FL033","Flippen Lekka Spice / Curry Mix / 1kg","","10888","600969362872","CINNAMON","Herbs / Cinnamon Sticks","835","10980","","",0.01,"kg","65.40000000000"
"FL033","Flippen Lekka Spice / Curry Mix / 1kg","","10888","600969362872","LEAVES-BAY","Herbs / Bay Leaves","830","10986","6007097008302","",0.015,"kg","98.00000000000"
"FL014","Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","10895","6009693629929","FL-PCAP-O","Printed Flip Lid Caps / Orange","","10841","","",1,"cap","0.794272222244444"
"FL013","Flippen Lekka Spice / Worcester Sauce Spice / 100ml","","10878","600969362991","FL-PCAP-O","Printed Flip Lid Caps / Orange","","10841","","",1,"cap","0.794272222244444"
